MLS,sold_price,zipcode,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21606641,520000.0,85624,37.22,4081.72,1983,2,4.0,2787.0,2.0,"Refrigerator, Oven",3,Concrete,10
21610764,540000.0,85755,0.55,5453.93,2001,4,3.0,2840.0,3.0,"Dishwasher, Garbage Disposal, Microwave, Oven",0,"Carpet, Concrete",30
21602493,550000.0,85641,1.82,1182.55,2016,4,3.0,3105.0,3.0,"Dishwasher, Garbage Disposal, Oven",1,"Carpet, Ceramic Tile",75
21612949,535000.0,85743,3.45,5884.91,2002,3,4.0,3067.0,4.0,"Dishwasher, Garbage Disposal, Microwave, Oven",3,"Carpet, Ceramic Tile, Wood",0
21625213,525000.0,85745,1.29,5897.62,2004,3,4.0,3351.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Ceramic Tile, Wood",0
21630290,550000.0,85718,2.2,8880.69,1974,3,4.0,3777.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Oven",1,"Carpet, Ceramic Tile",0
21632161,550000.0,85718,1.36,5952.36,1965,5,4.0,3678.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Ceramic Tile, Natural Stone",5
21630159,550000.0,85716,0.93,3856.55,1937,3,3.0,3351.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Oven",2,"Concrete, Wood",0
21704921,520000.0,85718,3.41,5592.0,1954,5,5.0,3178.0,0.0,"Dishwasher, Freezer, Refrigerator, Oven",1,"Carpet, Ceramic Tile, Mexican Tile",0
21702064,550000.0,85718,1.54,5890.44,1972,3,3.0,4169.0,2.0,"Dishwasher, Refrigerator, Oven",1,"Carpet, Ceramic Tile, Other",0
21631536,525000.0,85718,0.91,7472.24,1972,4,3.0,3698.0,8.0,"Dishwasher, Garbage Disposal, Oven",2,"Carpet, Ceramic Tile",6
21302701,532500.0,85750,0.89,7022.0,1991,4,3.0,3355.0,2.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile",6
21130560,530000.0,85745,0.42,5193.0,1997,3,4.0,3072.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Ceramic Tile, Mexican Tile",41
21206543,490000.0,85750,0.25,3814.0,1989,3,2.0,2429.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Other",108
21205921,486600.0,85718,1.82,4969.94,1949,4,3.0,2460.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Oven",2,"Ceramic Tile, Other",0
